errors,evaluation_mode,fail_rate,feature_coverage,median_gap,policy_id,scenario,score,source_problem_family,source_scale,split,target_problem_family,target_scale,verified
,standard_split,0.0,0.0,0.724358,vanilla,train,-0.747721,drs_feasibility,,train,drs_feasibility,,True
,standard_split,0.0,0.5,0.729108,adaptive,train,-1.302572,drs_feasibility,,train,drs_feasibility,,True
,standard_split,0.0,0.0,0.737791,conservative,train,-0.961396,drs_feasibility,,train,drs_feasibility,,True
,standard_split,0.0,0.0,0.724358,safe_fallback_only,train,-0.747717,drs_feasibility,,train,drs_feasibility,,True
,standard_split,0.0,0.5,0.729108,learned_controller,train,-1.302569,drs_feasibility,,train,drs_feasibility,,True
,standard_split,0.0,0.5,0.728046,llm_one_shot,train,-1.401476,drs_feasibility,,train,drs_feasibility,,True
,standard_split,0.0,0.0,0.770915,vanilla,validation,-0.775564,drs_feasibility,,validation,drs_feasibility,,True
,standard_split,0.0,0.5,0.779214,adaptive,validation,-1.332184,drs_feasibility,,validation,drs_feasibility,,True
,standard_split,0.0,0.0,0.791012,conservative,validation,-0.991642,drs_feasibility,,validation,drs_feasibility,,True
,standard_split,0.0,0.0,0.770915,safe_fallback_only,validation,-0.775568,drs_feasibility,,validation,drs_feasibility,,True
,standard_split,0.0,0.5,0.779214,learned_controller,validation,-1.332186,drs_feasibility,,validation,drs_feasibility,,True
,standard_split,0.0,0.5,0.777387,llm_one_shot,validation,-1.430753,drs_feasibility,,validation,drs_feasibility,,True
,standard_split,0.0,0.0,0.702676,vanilla,test,-0.737321,drs_feasibility,,test,drs_feasibility,,True
,standard_split,0.0,0.5,0.706643,adaptive,test,-1.292418,drs_feasibility,,test,drs_feasibility,,True
,standard_split,0.0,0.0,0.71528,conservative,test,-0.952779,drs_feasibility,,test,drs_feasibility,,True
,standard_split,0.0,0.0,0.702676,safe_fallback_only,test,-0.737322,drs_feasibility,,test,drs_feasibility,,True
,standard_split,0.0,0.5,0.706643,learned_controller,test,-1.292417,drs_feasibility,,test,drs_feasibility,,True
,standard_split,0.0,0.5,0.705358,llm_one_shot,test,-1.390814,drs_feasibility,,test,drs_feasibility,,True
,train_small_test_large,0.0,0.0,0.702676,vanilla,train_small_test_large,-0.737321,drs_feasibility,small_train,test,drs_feasibility,large_test,True
,train_small_test_large,0.0,0.5,0.706643,adaptive,train_small_test_large,-1.292418,drs_feasibility,small_train,test,drs_feasibility,large_test,True
,train_small_test_large,0.0,0.0,0.71528,conservative,train_small_test_large,-0.952779,drs_feasibility,small_train,test,drs_feasibility,large_test,True
,train_small_test_large,0.0,0.0,0.702676,safe_fallback_only,train_small_test_large,-0.73732,drs_feasibility,small_train,test,drs_feasibility,large_test,True
,train_small_test_large,0.0,0.5,0.706643,learned_controller,train_small_test_large,-1.29242,drs_feasibility,small_train,test,drs_feasibility,large_test,True
,train_small_test_large,0.0,0.5,0.705358,llm_one_shot,train_small_test_large,-1.39082,drs_feasibility,small_train,test,drs_feasibility,large_test,True
,cross_problem_transfer,0.0,0.0,0.853956,vanilla,affine_box_to_shifted_box,-0.818009,drs_feasibility,affine_box,test,drs_affine_box_shifted,shifted_box,True
,cross_problem_transfer,0.0,0.5,0.853961,adaptive,affine_box_to_shifted_box,-1.368556,drs_feasibility,affine_box,test,drs_affine_box_shifted,shifted_box,True
,cross_problem_transfer,0.0,0.0,0.853989,conservative,affine_box_to_shifted_box,-1.019802,drs_feasibility,affine_box,test,drs_affine_box_shifted,shifted_box,True
,cross_problem_transfer,0.0,0.0,0.853956,safe_fallback_only,affine_box_to_shifted_box,-0.818009,drs_feasibility,affine_box,test,drs_affine_box_shifted,shifted_box,True
,cross_problem_transfer,0.0,0.5,0.853961,learned_controller,affine_box_to_shifted_box,-1.368556,drs_feasibility,affine_box,test,drs_affine_box_shifted,shifted_box,True
,cross_problem_transfer,0.0,0.5,0.85396,llm_one_shot,affine_box_to_shifted_box,-1.46853,drs_feasibility,affine_box,test,drs_affine_box_shifted,shifted_box,True
