algorithm,errors,fail_rate,feature_coverage,median_gap,origin,parent,policy_id,proof_count,score,smoke_ok,smoke_reason,verified,warnings
PDHG,,0.0,0.4,0.784892,search_seed,,search_seed,6,-2.682366,True,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
PDHG,,0.0,0.0,0.278459,mutation,,search_variant_1,2,-1.222846,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.271429,mutation,,search_variant_2,2,-1.267642,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.2843,random_search,search_variant_1,random_00,2,-1.225376,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.271429,random_search,random_01_s0,random_01,2,-1.267628,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.4,0.856872,random_search,random_02_s1,random_02,6,-2.823942,True,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
PDHG,,0.0,0.4,0.782857,random_search,random_03_s1,random_03,6,-2.746426,True,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
PDHG,,0.0,0.0,0.277494,random_search,random_04_s1,random_04,2,-1.213352,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.27672,random_search,search_variant_1,random_05,2,-1.21392,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.4,0.718257,random_search,search_seed,random_06,6,-2.675799,True,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
PDHG,,0.0,0.0,0.271429,random_search,random_07_s1,random_07,2,-1.26763,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
