ablation,algorithm,errors,fail_rate,family,feature_coverage,median_dual_residual,median_gap,median_primal_residual,median_runtime,origin,policy_id,policy_variant,proof_count,score,split,variant,verification_mode,verified,warnings
baseline,PDHG,,0.0,pdhg_lp,0.0,0.000176,0.001279,0.000326,0.01178,baseline,vanilla,vanilla,1,-0.203514,train,baseline,strict,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
baseline,PDHG,,0.0,pdhg_lp,0.4,0.000594,1.032419,2.541762,0.01379,baseline,adaptive,adaptive,6,-3.179128,train,baseline,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
baseline,PDHG,,0.0,pdhg_lp,0.0,0.000526,0.431692,0.503124,0.01381,baseline,conservative,conservative,2,-1.350232,train,baseline,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
safe_fallback_only,PDHG,,0.0,pdhg_lp,0.0,0.000176,0.001279,0.000326,0.012203,safe_fallback_only,safe_fallback_only,safe_fallback_only,1,-0.203576,train,safe_fallback_only,strict,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
llm_only_one_shot,PDHG,,0.0,pdhg_lp,0.0,0.000829,1.069231,2.497,0.014621,llm_one_shot,llm_one_shot,llm_one_shot,6,-3.032055,train,llm_only_one_shot,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
without_reflection,PDHG,,0.0,pdhg_lp,0.4,0.000257,0.937252,2.389519,0.014552,without_reflection,prompt_variant,prompt_variant,6,-2.978392,train,without_reflection,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
without_evolution,PDHG,,0.0,pdhg_lp,0.4,0.000603,0.218759,0.447864,0.013016,without_evolution,model_variant,model_variant,3,-1.294181,train,without_evolution,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
prompt_variant,PDHG,,0.0,pdhg_lp,0.4,0.000257,0.937252,2.389519,0.01416,prompt_variant,prompt_variant,prompt_variant,6,-2.978334,train,prompt_variant,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
llm_model_variant,PDHG,,0.0,pdhg_lp,0.4,0.000603,0.218759,0.447864,0.013387,llm_model_variant,model_variant,model_variant,3,-1.294236,train,llm_model_variant,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
random_search_same_budget,PDHG,,0.0,pdhg_lp,0.4,0.000785,0.042512,0.089565,0.013886,grid_search,grid_candidate_1,grid_candidate_1,2,-0.597028,train,random_search_same_budget,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
bo_same_budget,PDHG,,0.0,pdhg_lp,0.4,0.000342,1.005297,1.849578,0.013973,bayesian_optimisation,bayes_proxy_ablation,,2,-2.40465,train,bo_same_budget,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
bo_same_budget_deep,PDHG,,0.0,pdhg_lp,0.4,0.001887,1.038161,2.070238,0.014096,bayesian_optimisation,bayes_proxy_ablation_deep,,2,-2.511196,train,bo_same_budget_deep,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
evolution_without_llm,PDHG,,0.0,pdhg_lp,0.4,0.000233,1.071283,2.672649,0.013914,evolution_without_llm,evolution_no_llm_ablation,,6,-3.241454,train,evolution_without_llm,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
learned_controller_high_budget,PDHG,,0.0,pdhg_lp,1.0,0.000738,1.205261,2.973078,0.015747,learned_controller,learned_controller_high_budget,learned_controller_high_budget,1152,-5.349007,train,learned_controller_high_budget,strict,True,
learned_controller_paper_scale,PDHG,,0.0,pdhg_lp,1.0,0.000479,1.207875,2.979529,0.016371,learned_controller,learned_controller_paper_scale,learned_controller_paper_scale,1152,-5.352102,train,learned_controller_paper_scale,strict,True,
temperature_0p3,PDHG,,0.0,pdhg_lp,0.4,0.000572,0.958844,2.446142,0.012375,temperature_variant,temperature_0p3_variant,,6,-3.109192,train,temperature_0p3,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
temperature_0p7,PDHG,,0.0,pdhg_lp,0.4,0.001221,0.018424,0.036792,0.012738,temperature_variant,temperature_0p7_variant,,2,-0.514123,train,temperature_0p7,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
without_verifier,PDHG,,0.0,pdhg_lp,,2.8e-05,1.304292,3.357909,0.012574,without_verifier,unsafe_no_verifier,unsafe_no_verifier,0,-3.003053,train,without_verifier,bypassed,,
