ablation,algorithm,errors,fail_rate,family,feature_coverage,median_dual_residual,median_gap,median_primal_residual,median_runtime,origin,policy_id,policy_variant,proof_count,score,split,variant,verification_mode,verified,warnings
baseline,ALM,,0.0,alm_eq_qp,0.0,4e-06,1e-06,0.0,0.01559,baseline,vanilla,vanilla,1,-0.202324,train,baseline,strict,True,"Required features not referenced by policy: k, rho, violation"
baseline,ALM,,0.0,alm_eq_qp,0.3333,0.0,0.0,0.0,0.014523,baseline,adaptive,adaptive,6,-0.702163,train,baseline,strict,True,"Action scale_rho is emitted without reading state feature rho. | Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
baseline,ALM,,0.0,alm_eq_qp,0.3333,0.0,0.0,0.0,0.013231,baseline,conservative,conservative,4,-0.501972,train,baseline,strict,True,"Action set_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
safe_fallback_only,ALM,,0.0,alm_eq_qp,0.0,4e-06,1e-06,0.0,0.010692,safe_fallback_only,safe_fallback_only,safe_fallback_only,1,-0.201598,train,safe_fallback_only,strict,True,"Required features not referenced by policy: k, rho, violation"
llm_only_one_shot,ALM,,0.0,alm_eq_qp,0.6667,0.000306,0.000134,4.4e-05,0.013163,llm_one_shot,llm_one_shot,llm_one_shot,12,-1.102301,train,llm_only_one_shot,strict,True,Required features not referenced by policy: k
without_reflection,ALM,,0.0,alm_eq_qp,0.6667,0.009357,0.005748,0.002302,0.012502,without_reflection,prompt_variant,prompt_variant,6,-0.965011,train,without_reflection,strict,True,Required features not referenced by policy: k
without_evolution,ALM,,0.0,alm_eq_qp,0.3333,0.0,0.0,0.0,0.012473,without_evolution,model_variant,model_variant,4,-0.501859,train,without_evolution,strict,True,"Action set_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
prompt_variant,ALM,,0.0,alm_eq_qp,0.6667,0.009357,0.005748,0.002302,0.012899,prompt_variant,prompt_variant,prompt_variant,6,-0.96507,train,prompt_variant,strict,True,Required features not referenced by policy: k
llm_model_variant,ALM,,0.0,alm_eq_qp,0.3333,0.0,0.0,0.0,0.012353,llm_model_variant,model_variant,model_variant,4,-0.501842,train,llm_model_variant,strict,True,"Action set_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
random_search_same_budget,ALM,,0.0,alm_eq_qp,0.3333,0.0,0.0,0.0,0.012216,grid_search,grid_candidate_1,grid_candidate_1,6,-0.701821,train,random_search_same_budget,strict,True,"Action scale_rho is emitted without reading state feature rho. | Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
bo_same_budget,ALM,,0.0,alm_eq_qp,0.3333,0.0,0.0,0.0,0.01163,bayesian_optimisation,bayes_proxy_ablation,,6,-0.701734,train,bo_same_budget,strict,True,"Action scale_rho is emitted without reading state feature rho. | Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
bo_same_budget_deep,ALM,,0.0,alm_eq_qp,0.3333,0.0,0.0,0.0,0.01246,bayesian_optimisation,bayes_proxy_ablation_deep,,6,-0.701858,train,bo_same_budget_deep,strict,True,"Action scale_rho is emitted without reading state feature rho. | Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
evolution_without_llm,ALM,,0.0,alm_eq_qp,0.3333,0.0,0.0,0.0,0.010208,evolution_without_llm,evolution_no_llm_ablation,,6,-0.701523,train,evolution_without_llm,strict,True,"Action scale_rho is emitted without reading state feature rho. | Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
learned_controller_high_budget,ALM,,0.0,alm_eq_qp,1.0,0.0,0.0,0.0,0.017001,learned_controller,learned_controller_high_budget,learned_controller_high_budget,1152,-2.902529,train,learned_controller_high_budget,strict,True,
learned_controller_paper_scale,ALM,,0.0,alm_eq_qp,1.0,0.0,0.0,0.0,0.013407,learned_controller,learned_controller_paper_scale,learned_controller_paper_scale,1152,-2.901998,train,learned_controller_paper_scale,strict,True,
temperature_0p3,ALM,,0.0,alm_eq_qp,0.3333,0.0,0.0,0.0,0.014969,temperature_variant,temperature_0p3_variant,,6,-0.702229,train,temperature_0p3,strict,True,"Action scale_rho is emitted without reading state feature rho. | Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
temperature_0p7,ALM,,0.0,alm_eq_qp,0.3333,0.0,0.0,0.0,0.016411,temperature_variant,temperature_0p7_variant,,6,-0.702442,train,temperature_0p7,strict,True,"Action scale_rho is emitted without reading state feature rho. | Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
without_verifier,ALM,,0.0,alm_eq_qp,,0.000306,0.000134,4.4e-05,0.011011,without_verifier,unsafe_no_verifier,unsafe_no_verifier,0,-1.101982,train,without_verifier,bypassed,,
