algorithm,emitted_actions,feature_coverage,max_actions,path_count,policy_id,primary_proof,proof_count,used_features,variant,verified,warnings
FISTA,fallback,0.0,1,1,vanilla,path[1]: fallback satisfied under root,1,,vanilla,True,"Required features not referenced by policy: k, momentum, obj, obj_prev, tau"
FISTA,"fallback,restart,set_momentum,scale_tau,set_momentum,set_momentum,scale_tau,damp,damp,damp,damp",0.4,11,4,adaptive,"path[1]: fallback satisfied under if state.get('obj', 0.0) > state.get('obj_prev', 0.0)",4,"gap,obj,obj_prev,stagnation_count",adaptive,True,"Action set_momentum is emitted without reading state feature momentum. | Action scale_tau is emitted without reading state feature tau. | Action set_momentum is emitted without reading state feature momentum. | Action set_momentum is emitted without reading state feature momentum. | Action scale_tau is emitted without reading state feature tau. | Required features not referenced by policy: k, momentum, tau"
FISTA,"fallback,restart,set_momentum,scale_tau,damp,damp",0.4,6,2,conservative,"path[1]: fallback satisfied under if state.get('obj', 0.0) > state.get('obj_prev', 0.0) or state.get('stagnation_count', 0) > 4",2,"obj,obj_prev,stagnation_count",conservative,True,"Action set_momentum is emitted without reading state feature momentum. | Action scale_tau is emitted without reading state feature tau. | Required features not referenced by policy: k, momentum, tau"
FISTA,"fallback,restart,damp,damp",0.0,4,2,search_variant_1,"path[1]: fallback satisfied under if state.get('stagnation_count', 0) >= 2",2,stagnation_count,search_variant_1,True,"Required features not referenced by policy: k, momentum, obj, obj_prev, tau"
FISTA,"fallback,restart,damp,damp",0.4,4,2,search_variant_2,"path[1]: fallback satisfied under if state.get('obj', 0.0) > state.get('obj_prev', 0.0)",2,"obj,obj_prev",search_variant_2,True,"Required features not referenced by policy: k, momentum, tau"
PDHG,fallback,0.0,1,1,vanilla,path[1]: fallback satisfied under root,1,,vanilla,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,"fallback,scale_tau,scale_sigma,scale_tau,scale_sigma,restart,damp,damp,restart,damp,damp,restart,damp,damp",0.4,14,6,adaptive,"path[1]: fallback satisfied under if ratio > 1.5, if state.get('stagnation_count', 0) >= 4",6,"r_d_norm,r_p_norm,stagnation_count",adaptive,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
PDHG,"fallback,restart,scale_tau,scale_sigma,damp,damp",0.0,6,2,conservative,"path[1]: fallback satisfied under if state.get('stagnation_count', 0) > 5",2,stagnation_count,conservative,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,"fallback,restart,damp,damp",0.0,4,2,search_variant_1,"path[1]: fallback satisfied under if state.get('stagnation_count', 0) >= 2",2,stagnation_count,search_variant_1,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,"fallback,restart,damp,damp",0.0,4,2,search_variant_2,"path[1]: fallback satisfied under if state.get('obj', 0.0) > state.get('obj_prev', 0.0)",2,"obj,obj_prev",search_variant_2,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
ADMM,fallback,0.0,1,1,vanilla,path[1]: fallback satisfied under root,1,,vanilla,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, rho"
ADMM,"fallback,scale_rho,scale_rho,restart,damp,damp,restart,damp,damp,restart,damp,damp",0.5,12,6,adaptive,"path[1]: fallback satisfied under if ratio > 1.3, if state.get('stagnation_count', 0) >= 5",6,"r_d_norm,r_p_norm,stagnation_count",adaptive,True,"Action scale_rho is emitted without reading state feature rho. | Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
ADMM,"fallback,scale_rho,restart,scale_rho,damp,damp,damp",0.5,7,3,conservative,"path[1]: fallback satisfied under if state.get('r_p_norm', 0.0) > 2.0 * (state.get('r_d_norm', 0.0) + 1e-09)",3,"r_d_norm,r_p_norm,stagnation_count",conservative,True,"Action scale_rho is emitted without reading state feature rho. | Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
ADMM,"fallback,restart,damp,damp",0.0,4,2,search_variant_1,"path[1]: fallback satisfied under if state.get('stagnation_count', 0) >= 2",2,stagnation_count,search_variant_1,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, rho"
ADMM,"fallback,restart,damp,damp",0.0,4,2,search_variant_2,"path[1]: fallback satisfied under if state.get('obj', 0.0) > state.get('obj_prev', 0.0)",2,"obj,obj_prev",search_variant_2,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, rho"
DRS,fallback,0.0,1,1,vanilla,path[1]: fallback satisfied under root,1,,vanilla,True,"Required features not referenced by policy: k, residual_norm"
DRS,"fallback,damp,damp,damp,restart,restart,restart",0.5,7,6,adaptive,"path[1]: fallback satisfied under if state.get('residual_norm', 0.0) > 0.02, if state.get('stagnation_count', 0) >= 5",6,"gap,residual_norm,stagnation_count",adaptive,True,Required features not referenced by policy: k
DRS,"fallback,damp,restart",0.0,3,2,conservative,"path[1]: fallback satisfied under if state.get('stagnation_count', 0) > 5",2,stagnation_count,conservative,True,"Required features not referenced by policy: k, residual_norm"
DRS,"fallback,damp,damp,damp,restart,restart,restart",0.5,7,6,search_variant_1,"path[1]: fallback satisfied under if residual > 0.01 and gap > 0.5, if state.get('stagnation_count', 0) >= 3 and residual > 0.004",6,"gap,residual_norm,stagnation_count",search_variant_1,True,Required features not referenced by policy: k
DRS,"fallback,damp,damp,damp,restart,restart,restart",0.5,7,6,search_variant_2,"path[1]: fallback satisfied under if residual > 0.02, if state.get('obj', 0.0) > state.get('obj_prev', 0.0) or (state.get('stagnation_count', 0) > 4 and residual > 0.003)",6,"gap,obj,obj_prev,residual_norm,stagnation_count",search_variant_2,True,Required features not referenced by policy: k
ALM,fallback,0.0,1,1,vanilla,path[1]: fallback satisfied under root,1,,vanilla,True,"Required features not referenced by policy: k, rho, violation"
ALM,"fallback,scale_rho,scale_rho,restart,set_rho,restart,set_rho,restart,set_rho",0.3333,9,6,adaptive,"path[1]: fallback satisfied under if state.get('violation', 0.0) > 0.05, if state.get('stagnation_count', 0) >= 4",6,"gap,stagnation_count,violation",adaptive,True,"Action scale_rho is emitted without reading state feature rho. | Action scale_rho is emitted without reading state feature rho. | Action set_rho is emitted without reading state feature rho. | Action set_rho is emitted without reading state feature rho. | Action set_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
ALM,"fallback,set_rho,restart,restart",0.3333,4,4,conservative,"path[1]: fallback satisfied under if state.get('violation', 0.0) > 0.1, if state.get('stagnation_count', 0) > 5",4,"stagnation_count,violation",conservative,True,"Action set_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
ALM,"fallback,scale_rho,scale_rho,restart,set_rho,restart,set_rho,restart,set_rho,damp,damp,damp,damp,damp,damp,damp,damp,damp,damp,damp,damp",0.6667,21,12,search_variant_1,"path[1]: fallback satisfied under if violation > 0.08 and gap > 0.04, if state.get('stagnation_count', 0) >= 3 and violation > 0.015, if violation > 0.03",12,"gap,rho,stagnation_count,violation",search_variant_1,True,Required features not referenced by policy: k
ALM,"fallback,set_rho,scale_rho,restart,damp,damp,restart,damp,damp,restart,damp,damp",0.6667,12,6,search_variant_2,"path[1]: fallback satisfied under if violation > 0.12, if state.get('stagnation_count', 0) > 4 and gap > 0.02",6,"gap,rho,stagnation_count,violation",search_variant_2,True,Required features not referenced by policy: k
PCG,fallback,0.0,1,1,vanilla,path[1]: fallback satisfied under root,1,,vanilla,True,"Required features not referenced by policy: k, residual_norm"
PCG,"fallback,restart,damp,damp,damp",0.0,5,3,adaptive,"path[1]: fallback satisfied under if state.get('residual_ratio', 1.0) > 0.9",3,residual_ratio,adaptive,True,"Required features not referenced by policy: k, residual_norm"
PCG,"fallback,damp,restart",0.0,3,2,conservative,"path[1]: fallback satisfied under if state.get('stagnation_count', 0) > 3 or state.get('residual_ratio', 1.0) > 0.95",2,"residual_ratio,stagnation_count",conservative,True,"Required features not referenced by policy: k, residual_norm"
PCG,"fallback,restart,damp,restart,damp,damp,damp",0.0,7,4,search_variant_1,path[1]: fallback satisfied under if curvature <= 1e-08,4,"direction_curvature,residual_ratio",search_variant_1,True,"Required features not referenced by policy: k, residual_norm"
PCG,"fallback,damp,damp,damp,restart,restart,restart",0.5,7,6,search_variant_2,"path[1]: fallback satisfied under if ratio > 0.55, if state.get('stagnation_count', 0) > 2 or residual < 1e-10 or curvature <= 1e-10",6,"direction_curvature,residual_norm,residual_ratio,stagnation_count",search_variant_2,True,Required features not referenced by policy: k
LNS_REPAIR,fallback,0.0,1,1,vanilla,path[1]: fallback satisfied under root,1,,vanilla,True,"Required features not referenced by policy: fractionality, k, mip_gap, neighbourhood_size"
LNS_REPAIR,"fallback,damp,damp,damp,restart,restart,restart",0.5,7,6,adaptive,"path[1]: fallback satisfied under if state.get('violation', 0.0) > 0.0, if state.get('stagnation_count', 0) >= 4 and state.get('mip_gap', 0.0) > 0.05",6,"fractionality,mip_gap,stagnation_count,violation",adaptive,True,"Required features not referenced by policy: k, neighbourhood_size"
LNS_REPAIR,"fallback,damp,restart",0.25,3,2,conservative,"path[1]: fallback satisfied under if state.get('stagnation_count', 0) > 5 and state.get('fractionality', 0.0) > 0.15",2,"fractionality,stagnation_count",conservative,True,"Required features not referenced by policy: k, mip_gap, neighbourhood_size"
LNS_REPAIR,"fallback,damp,damp,damp,restart,restart,restart",0.5,7,6,search_variant_1,"path[1]: fallback satisfied under if mip_gap > 0.18 and fractionality > 0.18, if state.get('stagnation_count', 0) >= 3 and mip_gap > 0.1",6,"fractionality,lp_gap,mip_gap,stagnation_count",search_variant_1,True,"Required features not referenced by policy: k, neighbourhood_size"
LNS_REPAIR,"fallback,damp,damp,damp,restart,restart,restart",0.5,7,6,search_variant_2,"path[1]: fallback satisfied under if fractionality > 0.24 and mip_gap > 0.08, if incumbent > best_bound * 1.18 and state.get('stagnation_count', 0) > 2",6,"best_bound,fractionality,incumbent_obj,mip_gap,stagnation_count",search_variant_2,True,"Required features not referenced by policy: k, neighbourhood_size"
