ablation,algorithm,errors,fail_rate,family,feature_coverage,median_dual_residual,median_gap,median_primal_residual,median_runtime,origin,policy_id,policy_variant,proof_count,score,split,variant,verification_mode,verified,warnings
baseline,ADMM,,0.0,admm_qp,0.0,0.0,0.0,0.0,0.011385,baseline,vanilla,vanilla,1,-0.201698,train,baseline,strict,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, rho"
baseline,ADMM,,0.0,admm_qp,0.5,0.0,0.0,0.0,0.012419,baseline,adaptive,adaptive,6,-0.851851,train,baseline,strict,True,"Action scale_rho is emitted without reading state feature rho. | Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
baseline,ADMM,,0.0,admm_qp,0.5,0.0,0.0,0.0,0.013561,baseline,conservative,conservative,3,-0.60202,train,baseline,strict,True,"Action scale_rho is emitted without reading state feature rho. | Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
safe_fallback_only,ADMM,,0.0,admm_qp,0.0,0.0,0.0,0.0,0.011795,safe_fallback_only,safe_fallback_only,safe_fallback_only,1,-0.201759,train,safe_fallback_only,strict,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, rho"
llm_only_one_shot,ADMM,,0.0,admm_qp,0.5,0.0,0.0,0.0,0.012283,llm_one_shot,llm_one_shot,llm_one_shot,6,-0.751831,train,llm_only_one_shot,strict,True,"Action scale_rho is emitted without reading state feature rho. | Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
without_reflection,ADMM,,0.0,admm_qp,0.5,0.0,0.0,0.0,0.011527,without_reflection,prompt_variant,prompt_variant,6,-0.701719,train,without_reflection,strict,True,"Action scale_rho is emitted without reading state feature rho. | Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
without_evolution,ADMM,,0.0,admm_qp,0.0,0.0,0.0,0.0,0.011183,without_evolution,model_variant,model_variant,6,-0.701668,train,without_evolution,strict,True,"Action scale_rho is emitted without reading state feature rho. | Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, r_d_norm, r_p_norm, rho"
prompt_variant,ADMM,,0.0,admm_qp,0.5,0.0,0.0,0.0,0.013506,prompt_variant,prompt_variant,prompt_variant,6,-0.702012,train,prompt_variant,strict,True,"Action scale_rho is emitted without reading state feature rho. | Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
llm_model_variant,ADMM,,0.0,admm_qp,0.0,0.0,0.0,0.0,0.012728,llm_model_variant,model_variant,model_variant,6,-0.701897,train,llm_model_variant,strict,True,"Action scale_rho is emitted without reading state feature rho. | Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, r_d_norm, r_p_norm, rho"
random_search_same_budget,ADMM,,0.0,admm_qp,0.5,0.0,0.0,0.0,0.012159,grid_search,grid_candidate_1,grid_candidate_1,2,-0.401813,train,random_search_same_budget,strict,True,"Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
bo_same_budget,ADMM,,0.0,admm_qp,0.5,0.0,0.0,0.0,0.012651,bayesian_optimisation,bayes_proxy_ablation,,2,-0.401886,train,bo_same_budget,strict,True,"Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
bo_same_budget_deep,ADMM,,0.0,admm_qp,0.5,0.0,0.0,0.0,0.012145,bayesian_optimisation,bayes_proxy_ablation_deep,,2,-0.401811,train,bo_same_budget_deep,strict,True,"Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
evolution_without_llm,ADMM,,0.0,admm_qp,0.5,0.0,0.0,0.0,0.012906,evolution_without_llm,evolution_no_llm_ablation,,6,-0.851924,train,evolution_without_llm,strict,True,"Action scale_rho is emitted without reading state feature rho. | Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
learned_controller_high_budget,ADMM,,0.0,admm_qp,1.0,0.0,0.0,0.0,0.01425,learned_controller,learned_controller_high_budget,learned_controller_high_budget,768,-2.552122,train,learned_controller_high_budget,strict,True,
learned_controller_paper_scale,ADMM,,0.0,admm_qp,1.0,0.0,0.0,0.0,0.015521,learned_controller,learned_controller_paper_scale,learned_controller_paper_scale,768,-2.55231,train,learned_controller_paper_scale,strict,True,
temperature_0p3,ADMM,,0.0,admm_qp,0.5,0.0,0.0,0.0,0.012841,temperature_variant,temperature_0p3_variant,,6,-0.851914,train,temperature_0p3,strict,True,"Action scale_rho is emitted without reading state feature rho. | Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
temperature_0p7,ADMM,,0.0,admm_qp,0.5,0.0,0.0,0.0,0.013461,temperature_variant,temperature_0p7_variant,,2,-0.402006,train,temperature_0p7,strict,True,"Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
without_verifier,ADMM,,0.0,admm_qp,,0.0,0.0,0.0,0.012226,without_verifier,unsafe_no_verifier,unsafe_no_verifier,0,-0.351823,train,without_verifier,bypassed,,
