ablation,algorithm,errors,fail_rate,family,feature_coverage,median_dual_residual,median_gap,median_primal_residual,median_runtime,origin,policy_id,policy_variant,proof_count,score,split,variant,verification_mode,verified,warnings
baseline,PDHG,,0.0,miplib_rootlp,0.0,0.000109,6.4e-05,9e-05,0.009519,baseline,vanilla,vanilla,1,-0.201647,train,baseline,strict,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
baseline,PDHG,,0.0,miplib_rootlp,0.4,0.0,1.0,2.44949,0.006931,baseline,adaptive,adaptive,6,-3.130055,train,baseline,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
baseline,PDHG,,0.0,miplib_rootlp,0.0,0.0,0.779422,1.832307,0.013783,baseline,conservative,conservative,2,-2.327652,train,baseline,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
safe_fallback_only,PDHG,,0.0,miplib_rootlp,0.0,0.000109,6.4e-05,9e-05,0.012375,safe_fallback_only,safe_fallback_only,safe_fallback_only,1,-0.202071,train,safe_fallback_only,strict,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
llm_only_one_shot,PDHG,,0.0,miplib_rootlp,0.0,0.0,1.0,2.44949,0.017544,llm_one_shot,llm_one_shot,llm_one_shot,6,-2.981628,train,llm_only_one_shot,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
without_reflection,PDHG,,0.0,miplib_rootlp,0.4,0.0,1.0,2.44949,0.013914,without_reflection,prompt_variant,prompt_variant,6,-3.031091,train,without_reflection,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
without_evolution,PDHG,,0.0,miplib_rootlp,0.4,0.004412,0.151515,0.214281,0.014145,without_evolution,model_variant,model_variant,3,-1.028369,train,without_evolution,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
prompt_variant,PDHG,,0.0,miplib_rootlp,0.4,0.0,1.0,2.44949,0.020739,prompt_variant,prompt_variant,prompt_variant,6,-3.032098,train,prompt_variant,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
llm_model_variant,PDHG,,0.0,miplib_rootlp,0.4,0.004412,0.151515,0.214281,0.005577,llm_model_variant,model_variant,model_variant,3,-1.027096,train,llm_model_variant,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
random_search_same_budget,PDHG,,0.0,miplib_rootlp,0.4,0.00061,0.030207,0.04272,0.011641,grid_search,grid_candidate_1,grid_candidate_1,2,-0.532,train,random_search_same_budget,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
bo_same_budget,PDHG,,0.0,miplib_rootlp,0.4,0.011873,0.926344,1.315104,0.006248,bayesian_optimisation,bayes_proxy_ablation,,2,-2.119806,train,bo_same_budget,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
bo_same_budget_deep,PDHG,,0.0,miplib_rootlp,0.4,0.011578,1.012203,1.492096,0.005972,bayesian_optimisation,bayes_proxy_ablation_deep,,2,-2.251628,train,bo_same_budget_deep,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
evolution_without_llm,PDHG,,0.0,miplib_rootlp,0.4,0.0,1.0,2.44949,0.010683,evolution_without_llm,evolution_no_llm_ablation,,6,-3.130613,train,evolution_without_llm,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
learned_controller_high_budget,PDHG,,0.0,miplib_rootlp,1.0,0.0,1.0,2.44949,0.010481,learned_controller,learned_controller_high_budget,learned_controller_high_budget,1152,-5.080583,train,learned_controller_high_budget,strict,True,
learned_controller_paper_scale,PDHG,,0.0,miplib_rootlp,1.0,0.0,1.0,2.44949,0.006284,learned_controller,learned_controller_paper_scale,learned_controller_paper_scale,1152,-5.079958,train,learned_controller_paper_scale,strict,True,
temperature_0p3,PDHG,,0.0,miplib_rootlp,0.4,0.0,1.0,2.44949,0.005747,temperature_variant,temperature_0p3_variant,,6,-3.129878,train,temperature_0p3,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
temperature_0p7,PDHG,,0.0,miplib_rootlp,0.4,0.003308,0.004132,0.005844,0.00764,temperature_variant,temperature_0p7_variant,,2,-0.463909,train,temperature_0p7,strict,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
without_verifier,PDHG,,0.0,miplib_rootlp,,9.7e-05,1.351534,2.940836,0.009173,without_verifier,unsafe_no_verifier,unsafe_no_verifier,0,-2.902158,train,without_verifier,bypassed,,
