ablation,algorithm,errors,fail_rate,family,feature_coverage,median_dual_residual,median_gap,median_primal_residual,median_runtime,origin,policy_id,policy_variant,proof_count,score,split,variant,verification_mode,verified,warnings
baseline,FISTA,,0.0,fista_lasso,0.0,1e-06,0.0,0.19018,0.10273,baseline,vanilla,vanilla,1,-0.301721,train,baseline,strict,True,"Required features not referenced by policy: k, momentum, obj, obj_prev, tau"
baseline,FISTA,,0.0,fista_lasso,0.4,3e-06,3e-06,0.189851,0.089621,baseline,adaptive,adaptive,4,-0.949793,train,baseline,strict,True,"Action set_momentum is emitted without reading state feature momentum. | Action scale_tau is emitted without reading state feature tau. | Action set_momentum is emitted without reading state feature momentum. | Action set_momentum is emitted without reading state feature momentum. | Action scale_tau is emitted without reading state feature tau. | Required features not referenced by policy: k, momentum, tau"
baseline,FISTA,,0.0,fista_lasso,0.4,0.0,0.000497,0.194377,0.087776,baseline,conservative,conservative,2,-0.60193,train,baseline,strict,True,"Action set_momentum is emitted without reading state feature momentum. | Action scale_tau is emitted without reading state feature tau. | Required features not referenced by policy: k, momentum, tau"
safe_fallback_only,FISTA,,0.0,fista_lasso,0.0,1e-06,0.0,0.19018,0.093864,safe_fallback_only,safe_fallback_only,safe_fallback_only,1,-0.30051,train,safe_fallback_only,strict,True,"Required features not referenced by policy: k, momentum, obj, obj_prev, tau"
llm_only_one_shot,FISTA,,0.0,fista_lasso,0.4,2.5e-05,1e-06,0.190345,0.109549,llm_one_shot,llm_one_shot,llm_one_shot,3,-0.802728,train,llm_only_one_shot,strict,True,"Action set_momentum is emitted without reading state feature momentum. | Action set_momentum is emitted without reading state feature momentum. | Action set_momentum is emitted without reading state feature momentum. | Required features not referenced by policy: k, momentum, tau"
without_reflection,FISTA,,0.0,fista_lasso,0.4,1.5e-05,0.0,0.190234,0.089465,without_reflection,prompt_variant,prompt_variant,3,-0.799936,train,without_reflection,strict,True,"Action set_momentum is emitted without reading state feature momentum. | Action set_momentum is emitted without reading state feature momentum. | Action set_momentum is emitted without reading state feature momentum. | Required features not referenced by policy: k, momentum, tau"
without_evolution,FISTA,,0.0,fista_lasso,0.0,1.4e-05,0.0,0.190239,0.082419,without_evolution,model_variant,model_variant,3,-0.798964,train,without_evolution,strict,True,"Action set_momentum is emitted without reading state feature momentum. | Action set_momentum is emitted without reading state feature momentum. | Action set_momentum is emitted without reading state feature momentum. | Required features not referenced by policy: k, momentum, obj, obj_prev, tau"
prompt_variant,FISTA,,0.0,fista_lasso,0.4,1.5e-05,0.0,0.190234,0.088343,prompt_variant,prompt_variant,prompt_variant,3,-0.799781,train,prompt_variant,strict,True,"Action set_momentum is emitted without reading state feature momentum. | Action set_momentum is emitted without reading state feature momentum. | Action set_momentum is emitted without reading state feature momentum. | Required features not referenced by policy: k, momentum, tau"
llm_model_variant,FISTA,,0.0,fista_lasso,0.0,1.4e-05,0.0,0.190239,0.083783,llm_model_variant,model_variant,model_variant,3,-0.799153,train,llm_model_variant,strict,True,"Action set_momentum is emitted without reading state feature momentum. | Action set_momentum is emitted without reading state feature momentum. | Action set_momentum is emitted without reading state feature momentum. | Required features not referenced by policy: k, momentum, obj, obj_prev, tau"
random_search_same_budget,FISTA,,0.0,fista_lasso,0.4,3e-06,0.0,0.190211,0.096723,grid_search,grid_candidate_1,grid_candidate_1,2,-0.550916,train,random_search_same_budget,strict,True,"Action set_momentum is emitted without reading state feature momentum. | Action set_momentum is emitted without reading state feature momentum. | Required features not referenced by policy: k, momentum, tau"
bo_same_budget,FISTA,,0.0,fista_lasso,0.4,1.7e-05,0.0,0.190356,0.103617,bayesian_optimisation,bayes_proxy_ablation,,2,-0.551924,train,bo_same_budget,strict,True,"Action set_momentum is emitted without reading state feature momentum. | Action set_momentum is emitted without reading state feature momentum. | Required features not referenced by policy: k, momentum, tau"
bo_same_budget_deep,FISTA,,0.0,fista_lasso,0.4,1.4e-05,0.0,0.190249,0.085806,bayesian_optimisation,bayes_proxy_ablation_deep,,2,-0.549436,train,bo_same_budget_deep,strict,True,"Action set_momentum is emitted without reading state feature momentum. | Action set_momentum is emitted without reading state feature momentum. | Required features not referenced by policy: k, momentum, tau"
evolution_without_llm,FISTA,,0.0,fista_lasso,0.4,5e-06,1e-06,0.189953,0.092019,evolution_without_llm,evolution_no_llm_ablation,,4,-0.950165,train,evolution_without_llm,strict,True,"Action set_momentum is emitted without reading state feature momentum. | Action scale_tau is emitted without reading state feature tau. | Action set_momentum is emitted without reading state feature momentum. | Action set_momentum is emitted without reading state feature momentum. | Action scale_tau is emitted without reading state feature tau. | Required features not referenced by policy: k, momentum, tau"
